,instrument,pred_1d,pred_5d,pred_20d,pred_60d,pred_120d,pred_240d
0,000001,-0.09435811223499291,-0.18216154297305426,-1.6651548163943124,-6.452710476836223,-7.2023979999822565,-4.968551890246806
1,000003,-0.07078067657776138,-0.33843556410606,1.5574358574559684,-7.233956154863643,-12.042601003292706,13.408480726766369
2,000004,-0.028136804060684414,-0.28852127265829075,1.9117620400634665,-5.901566574501888,-10.446210296956444,18.92611429960704
3,000006,0.08796644048544638,-0.1665199234426952,0.30647682188999703,-0.9303860882119528,13.778116385000484,8.893518085370234
4,000008,0.011592433135288915,-0.11941616567925285,-1.5815417341671094,-4.312292464663274,-3.3851600836843287,6.167190963445448
5,000011,0.22366947226530698,0.16966028511129486,1.1125269698012246,0.2626321830919966,0.673632032226881,1.1373551201630339
6,000014,-0.0027462165368990687,-0.004575480856596145,0.2230377923116863,6.962593280944929,-0.9263385605462181,-10.634432342022771
7,000015,-0.00434704406430558,-0.0019141104048494297,0.1342272480350421,0.22912080998058013,0.17747620653387639,-0.14718154022424096
8,000016,-0.007989656661564483,-0.017425264593342593,-0.023615854105836203,-0.004284647181013245,-0.7108664993587933,-1.7279954658122993
9,000017,0.06502690051110975,-0.2611818547584744,-2.137505257861652,-7.622315637514447,-17.012962270865135,-10.97698170820982
10,000020,-0.09114569135608924,-0.7269856383773242,0.6194034634203376,-6.898129432991156,-4.442573425013204,2.5813496799297395
11,000021,0.0888898510672865,-0.2843091160540882,-1.5605311154210197,-3.739422754503056,-7.963101458000251,8.340874104310602
12,000024,0.011361989702735165,0.08093516907020773,0.6656656746966925,1.4418078502019516,5.9351819759730144,6.11722252178577
13,000025,0.014564733267263385,0.047507495900642904,0.9093510168346349,1.8574705754277467,2.2972702271166767,8.720322022854003
14,000029,-0.13773755053409373,0.19742069277270538,-2.0525027694571985,-1.2375337457885243,-8.055859370820649,-2.6134824410948405
15,000030,-0.01251337800522281,0.18244141912258083,-0.44875032083361355,-6.107115518187916,-10.947291408894325,-12.659961499592882
16,000032,0.003424318471289337,0.07371881963459644,0.5086778240020843,0.8659462546976957,2.5394058743654333,7.9061310900962996
17,000033,0.010839486632750478,0.0777758557077883,0.4082916930789812,0.8744820224189499,1.7825069495839412,10.301327315236259
18,000039,0.042375989059629186,-0.14287798547393962,1.122324605543289,-1.4702857034979564,4.123186578046491,1.4455961309062433
19,000042,-0.036613539287374264,-0.06116563807498354,-1.1037643478689907,-2.0695597031775734,-10.268677026719494,-7.9179453328333205
20,000045,0.030108716288628552,0.19788421040599763,0.9706872675139161,1.9261270290157082,5.393804731448853,8.02828571326838
21,000046,0.008257172854037643,0.0529134993428932,0.7378077613593769,3.8617560642276563,7.821590694367584,13.569352536700691
22,000047,0.07141426983708422,0.2371264887079109,1.3916792444164325,3.0912122338862824,1.9115351532330915,12.282774671092726
23,000048,0.04812558359724073,0.1966852130970324,0.992402854084468,0.2329363109820313,0.8203405750495448,7.501864169037212
24,000051,-0.011047195243035907,-0.1701330092034556,0.09399858860614112,-3.642437483149408,-8.938080678925909,-1.8535945576311745
